Quater,State,Net Interstate Migration,Net Overseas Migration,Number of change
1/06/1985,Australian Capital Territory,1402,22,1424
1/06/1985,New South Wales,-3823,6903,3080
1/06/1985,Northern Territory,426,324,750
1/06/1985,Queensland,2197,2147,4344
1/06/1985,South Australia,-887,943,56
1/06/1985,Tasmania,510,138,648
1/06/1985,Victoria,-1049,3762,2713
1/06/1985,Western Australia,1224,1971,3195
1/09/1985,Australian Capital Territory,664,303,967
1/09/1985,New South Wales,-3549,9472,5923
1/09/1985,Northern Territory,466,386,852
1/09/1985,Queensland,4012,2639,6651
1/09/1985,South Australia,-659,1272,613
1/09/1985,Tasmania,-284,179,-105
1/09/1985,Victoria,-2754,6503,3749
1/09/1985,Western Australia,2104,2820,4924
1/12/1985,Australian Capital Territory,966,339,1305
1/12/1985,New South Wales,-3641,11725,8084
1/12/1985,Northern Territory,371,225,596
1/12/1985,Queensland,4607,2892,7499
1/12/1985,South Australia,-197,1414,1217
1/12/1985,Tasmania,21,222,243
1/12/1985,Victoria,-4159,7440,3281
1/12/1985,Western Australia,2032,3421,5453
1/03/1986,Australian Capital Territory,-138,511,373
1/03/1986,New South Wales,-2127,10523,8396
1/03/1986,Northern Territory,-543,267,-276
1/03/1986,Queensland,3861,2733,6594
1/03/1986,South Australia,-91,1201,1110
1/03/1986,Tasmania,-26,341,315
1/03/1986,Victoria,-3458,6925,3467
1/03/1986,Western Australia,2522,3249,5771
1/06/1986,Australian Capital Territory,291,267,558
1/06/1986,New South Wales,-3145,9202,6057
1/06/1986,Northern Territory,-787,327,-460
1/06/1986,Queensland,4020,3118,7138
1/06/1986,South Australia,-470,1197,727
1/06/1986,Tasmania,151,148,299
1/06/1986,Victoria,-2830,5552,2722
1/06/1986,Western Australia,2770,3546,6316
1/09/1986,Australian Capital Territory,627,306,933
1/09/1986,New South Wales,-2476,12290,9814
1/09/1986,Northern Territory,142,278,420
1/09/1986,Queensland,4157,3418,7575
1/09/1986,South Australia,-1094,1560,466
1/09/1986,Tasmania,-229,208,-21
1/09/1986,Victoria,-3195,7321,4126
1/09/1986,Western Australia,2068,4211,6279
1/12/1986,Australian Capital Territory,362,442,804
1/12/1986,New South Wales,-1397,12826,11429
1/12/1986,Northern Territory,201,185,386
1/12/1986,Queensland,4969,3250,8219
1/12/1986,South Australia,-1344,2005,661
1/12/1986,Tasmania,-260,309,49
1/12/1986,Victoria,-3812,8440,4628
1/12/1986,Western Australia,1281,4507,5788
1/03/1987,Australian Capital Territory,399,709,1108
1/03/1987,New South Wales,-2887,14819,11932
1/03/1987,Northern Territory,15,315,330
1/03/1987,Queensland,6292,3066,9358
1/03/1987,South Australia,-794,1430,636
1/03/1987,Tasmania,-688,190,-498
1/03/1987,Victoria,-3921,9715,5794
1/03/1987,Western Australia,1584,4814,6398
1/06/1987,Australian Capital Territory,552,167,719
1/06/1987,New South Wales,-2764,12758,9994
1/06/1987,Northern Territory,-478,244,-234
1/06/1987,Queensland,4300,3437,7737
1/06/1987,South Australia,-745,1205,460
1/06/1987,Tasmania,-331,163,-168
1/06/1987,Victoria,-2177,7360,5183
1/06/1987,Western Australia,1643,3782,5425
1/09/1987,Australian Capital Territory,586,545,1131
1/09/1987,New South Wales,-2003,15572,13569
1/09/1987,Northern Territory,-185,330,145
1/09/1987,Queensland,4950,4387,9337
1/09/1987,South Australia,-48,1464,1416
1/09/1987,Tasmania,-847,291,-556
1/09/1987,Victoria,-3371,10088,6717
1/09/1987,Western Australia,918,4757,5675
1/12/1987,Australian Capital Territory,553,32,585
1/12/1987,New South Wales,-3141,15170,12029
1/12/1987,Northern Territory,-904,98,-806
1/12/1987,Queensland,7329,4459,11788
1/12/1987,South Australia,-144,1446,1302
1/12/1987,Tasmania,-440,206,-234
1/12/1987,Victoria,-4396,8841,4445
1/12/1987,Western Australia,1143,4200,5343
1/03/1988,Australian Capital Territory,562,788,1350
1/03/1988,New South Wales,-4029,18575,14546
1/03/1988,Northern Territory,-1093,356,-737
1/03/1988,Queensland,9097,6643,15740
1/03/1988,South Australia,-459,1841,1382
1/03/1988,Tasmania,-349,335,-14
1/03/1988,Victoria,-4823,11808,6985
1/03/1988,Western Australia,1094,6916,8010
1/06/1988,Australian Capital Territory,361,77,438
1/06/1988,New South Wales,-4167,12173,8006
1/06/1988,Northern Territory,-947,243,-704
1/06/1988,Queensland,6344,4953,11297
1/06/1988,South Australia,-589,1201,612
1/06/1988,Tasmania,-288,59,-229
1/06/1988,Victoria,-1833,6515,4682
1/06/1988,Western Australia,1119,4972,6091
